InvoiceMonth,Revenue,Orders,ActiveCustomers,Units,AOV,RevenueGrowth,MonthLabel
2010-12,570422.73,1400,885,311048,407.44480714285714,,2010-12
2011-01,568101.31,987,741,348473,575.58390070922,-0.0040696484868334,2011-01
2011-02,446084.92,997,758,265027,447.4272016048144,-0.21477927942113,2011-02
2011-03,594081.76,1321,974,347582,449.7212414837245,0.3317683099442143,2011-03
2011-04,468374.331,1149,856,291366,407.6364934725849,-0.2115995431335915,2011-04
2011-05,677355.15,1555,1056,372864,435.5981672025724,0.4461833306573755,2011-05
2011-06,660046.05,1393,991,363014,473.8306173725772,-0.0255539505383549,2011-06
2011-07,598962.901,1331,949,367360,450.0096927122464,-0.0925437687264397,2011-07
2011-08,644051.04,1280,935,397373,503.16487500000005,0.0752770145274825,2011-08
2011-09,950690.202,1755,1266,543652,541.7038188034188,0.4761100331427148,2011-09
2011-10,1035642.45,1929,1364,591543,536.8804821150856,0.0893584974593015,2011-10
2011-11,1156205.61,2657,1664,665923,435.1545389537072,0.1164138839615933,2011-11
2011-12,517190.44,778,615,286777,664.769203084833,-0.5526829868953844,2011-12
